date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:52:28	84678/84678	---MCZ	200	added ('OK')	text/html	etag:W/372848ff399790d7cddede98f607e7a2	https://auslogics.bizwebvietnam.net/	C:/Users/Admin/Desktop/HTML/email/auslogics.bizwebvietnam.net/index.html	(from )
13:52:28	244/244	---M--	200	added ('OK')	text/plain	date:Fri,%2007%20Jul%202017%2006:52:28%20GMT	https://auslogics.bizwebvietnam.net/robots.txt		(from )
13:52:28	8530/8530	---M--	200	added ('OK')	image/png	date:Fri,%2009%20Dec%202016%2014:30:38%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/favicon.png?1494834680852	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/favicone134.png	(from https://auslogics.bizwebvietnam.net/)
13:52:29	5758/5758	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Dec%202016%2015:10:38%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/logo.png?1494834680852	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/logoe134.png	(from https://auslogics.bizwebvietnam.net/)
13:52:30	117726/117726	---MCZ	200	added ('OK')	text/css	date:Fri,%2030%20Dec%202016%2011:26:46%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/bootstrap.min.css?1494834680852	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/bootstrap.mine134.css	(from https://auslogics.bizwebvietnam.net/)
13:52:30	128398/128398	---MCZ	200	added ('OK')	text/css	date:Wed,%2028%20Dec%202016%2014:19:59%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/plugins.css?1494834680852	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/pluginse134.css	(from https://auslogics.bizwebvietnam.net/)
13:52:32	158929/158929	---MCZ	200	added ('OK')	text/css	date:Sun,%2019%20Mar%202017%2011:46:43%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/style.css?1494834680852	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/stylee134.css	(from https://auslogics.bizwebvietnam.net/)
13:52:32	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	http://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/Admin/Desktop/HTML/email/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://auslogics.bizwebvietnam.net/)
13:52:32	2217/2217	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2027%20Jun%202017%2003:16:10%20GMT	http://bizweb.dktcdn.net/assets/javascripts/bizweb_stats_v2.js?v=9	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/assets/javascripts/bizweb_stats_v2c164.js	(from https://auslogics.bizwebvietnam.net/)
13:52:32	4789/4789	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2007%20Jul%202017%2006:25:43%20GMT	http://stats.bizweb.vn/delivery/161511.js?lang=vi	C:/Users/Admin/Desktop/HTML/email/stats.bizweb.vn/delivery/161511e034.js	(from https://auslogics.bizwebvietnam.net/)
13:52:33	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2007%20Jul%202017%2006:52:34%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/Admin/Desktop/HTML/email/www.googletagmanager.com/gtm.95445.delayed	(from https://auslogics.bizwebvietnam.net/)
13:52:34	205427/205427	---M-Z	200	added ('OK')	application/x-javascript	etag:%22100525d5a79b9bf469374937aad9c781%22	http://connect.facebook.net/vi_VN/sdk.js	C:/Users/Admin/Desktop/HTML/email/connect.facebook.net/vi_VN/sdk.js	(from https://auslogics.bizwebvietnam.net/)
13:52:35	97162/97162	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2007%20Jan%202017%2014:00:35%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/jquery.min.js?1494834680852	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/jquery.mine134.js	(from https://auslogics.bizwebvietnam.net/)
13:52:37	9662/9662	---M--	200	added ('OK')	image/png	date:Wed,%2021%20Dec%202016%2015:11:19%20GMT	http://bizweb.dktcdn.net/100/161/511/themes/212331/assets/slider_icon_2.png?1494834680852	C:/Users/Admin/Desktop/HTML/email/bizweb.dktcdn.net/100/161/511/themes/212331/assets/slider_icon_2e134.png	(from https://auslogics.bizwebvietnam.net/)
